Indivíduo,cereais,leites,frutas,cereais,leguminosas,verduras,carnes,ovos,bebidas,verduras,pescados,leites,verduras,gorduras,frutas,Concentração,Custo,Energia Total
0,"Pão, glúten, forma","Iogurte, sabor pêssego","Ameixa, em calda, enlatada, drenada","Pastel, de carne, frito","Feijão, rajado, cru","Quiabo, cru","Peru, congelado, cru","Omelete, de queijo","Bebida isotônica, sabores variados","Feijão, broto, cru","Pescada, filé, com farinha de trigo, frito","Queijo, requeijão, cremoso","Nhoque, batata, cozido","Óleo, de pequi","Caqui, chocolate, cru",-2.6,18.457999999999995,2409.5340000000006
1,"Macarrão, instantâneo","Bebida láctea, pêssego","Pequi, cru","Cereais, mingau, milho, infantil","Feijão, rajado, cozido","Manjericão, cru","Frango, fígado, cru","Omelete, de queijo","Uva, suco concentrado, envasado","Mandioca, frita","Corimba, cru","Queijo, mozarela","Couve, manteiga, crua","Azeite, de oliva, extra virgem","Banana, maçã, crua",-2.8666666666666667,33.934999999999995,2795.6430000000005
2,"Lasanha, massa fresca, cozida","Queijo, prato","Goiaba, vermelha, com casca, crua","Biscoito, doce, maisena","Grão-de-bico, cru","Caruru, cru","Croquete, de carne, cru","Ovo, de galinha, clara, cozida/10minutos","Refrigerante, tipo guaraná","Manjericão, cru","Salmão, filé, com pele, fresco,  grelhado",Creme de Leite,"Couve, manteiga, refogada","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Goiaba, doce, cascão",-2.9333333333333336,53.184999999999995,3042.4140000000007
3,"Biscoito, doce, wafer, recheado de chocolate","Queijo, requeijão, cremoso","Goiaba, doce em pasta","Pastel, de queijo, cru","Feijão, preto, cru","Chicória, crua","Carne, bovina, lagarto, cru","Ovo, de galinha, clara, cozida/10minutos","Refrigerante, tipo limão","Mandioca, frita","Bacalhau, salgado, refogado","Iogurte, sabor morango","Tomate, purê","Óleo, de babaçu","Uva, Rubi, crua",-2.466666666666667,19.756,2459.747
4,"Farinha, de trigo","Queijo, parmesão","Ameixa, em calda, enlatada, drenada","Pastel, de carne, frito","Tremoço, em conserva","Abóbora, cabotian, crua","Frango, coxa, sem pele, crua","Omelete, de queijo","Coco, água de","Cará, cozido","Pescada, branca, frita","Leite, de vaca, integral, pó","Tomate, purê","Óleo, de babaçu","Uva, Rubi, crua",-2.6,28.148999999999997,2412.2960000000003
5,"Pastel, massa, crua","Iogurte, sabor morango","Goiaba, doce em pasta","Pastel, de queijo, cru","Feijão, preto, cru","Pimentão, amarelo, cru","Carne, bovina, costela, crua","Ovo, de galinha, clara, cozida/10minutos","Café, infusão 10%","Mandioca, frita","Salmão, sem pele, fresco, grelhado","Queijo, minas, frescal","Mandioca, farofa, temperada","Manteiga, sem sal","Caqui, chocolate, cru",-2.7333333333333334,37.861999999999995,4172.684000000001
6,"Lasanha, massa fresca, crua","Iogurte, sabor pêssego","Tucumã, cru","Farinha, láctea, de cereais","Feijão, jalo, cozido","Quiabo, cru","Carne, bovina, costela, crua","Omelete, de queijo","Cana, aguardente 1","Feijão, broto, cru","Pescada, filé, com farinha de trigo, frito","Queijo, requeijão, cremoso","Batata, baroa, cozida","Óleo, de milho","Caqui, chocolate, cru",-2.8666666666666667,41.558,3488.8329999999996
7,"Pipoca, com óleo de soja, sem sal","Iogurte, sabor pêssego","Tamarindo, cru","Pastel, de carne, frito","Feijão, jalo, cru","Espinafre, Nova Zelândia, refogado","Carne, bovina, paleta, com gordura, crua","Ovo, de galinha, clara, cozida/10minutos","Refrigerante, tipo laranja","Quiabo, cru","Lambari, fresco, cru",Creme de Leite,"Almeirão, refogado","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Mexerica, Murcote, crua",-2.923809523809524,107.89899999999999,3049.965
8,"Farinha, de arroz, enriquecida","Bebida láctea, pêssego","Tamarindo, cru","Pastel, de carne, frito","Feijão, rajado, cru","Taioba, crua","Carne, bovina, patinho, sem gordura, cru","Omelete, de queijo","Limão, cravo, suco","Mandioca, cozida","Pintado, cru","Leite, de vaca, integral, pó","Pimentão, verde, cru","Óleo, de girassol","Mexerica, Rio, crua",-2.3111111111111113,21.285000000000004,2410.108
9,"Bolo, pronto, aipim","Iogurte, sabor pêssego","Açaí, polpa, congelada","Lasanha, massa fresca, cozida","Amendoim, torrado, salgado","Pimentão, amarelo, cru","Carne, bovina, costela, crua","Omelete, de queijo","Coco, água de","Abobrinha, italiana, cozida","Pescada, filé, com farinha de trigo, frito","Queijo, mozarela","Cebola, crua","Óleo, de milho","Manga, Tommy Atkins, crua",-2.466666666666667,22.605,3117.061
10,"Pipoca, com óleo de soja, sem sal","Leite, fermentado","Pequi, cru","Farinha, láctea, de cereais","Feijão, jalo, cozido","Alho, cru",Apresuntado,"Ovo, de galinha, gema, cozida/10minutos","Limão, galego, suco","Tomate, purê","Cação, posta, com farinha de trigo, frita","Queijo, requeijão, cremoso","Abóbora, cabotian, crua","Óleo, de girassol","Abacaxi, polpa, congelada",-2.5714285714285716,28.512000000000004,2436.72
11,"Cereal matinal, milho, açúcar","Queijo, requeijão, cremoso","Goiaba, doce em pasta","Biscoito, doce, recheado com chocolate","Feijão, carioca, cru","Manjericão, cru","Carne, bovina, capa de contra-filé, com gordura, crua","Ovo, de galinha, inteiro, cozido/10minutos","Refrigerante, tipo limão","Farinha, de mandioca, torrada","Dourada de água doce, fresca","Iogurte, sabor morango","Tomate, purê","Azeite, de dendê","Cacau, cru",-2.6,31.097,2414.7039999999997
12,"Pastel, massa, crua","Queijo, pasteurizado","Jambo, cru","Pastel, de queijo, frito","Grão-de-bico, cru","Mandioca, farofa, temperada","Frango, fígado, cru","Ovo, de galinha, clara, cozida/10minutos","Café, infusão 10%","Polvilho, doce","Abadejo, filé, congelado, assado","Queijo, minas, meia cura","Rabanete, cru","Azeite, de oliva, extra virgem","Umbu, cru",-2.7333333333333334,40.183,2470.229
13,"Cereais, mistura para vitamina, trigo, cevada e aveia","Queijo, prato","Goiaba, vermelha, com casca, crua","Cereal matinal, milho, açúcar","Feijão, rosinha, cru","Pimentão, verde, cru","Croquete, de carne, cru","Ovo, de galinha, clara, cozida/10minutos","Limão, galego, suco","Cará, cru","Salmão, filé, com pele, fresco,  grelhado",Creme de Leite,"Manjericão, cru","Óleo, de milho","Goiaba, doce, cascão",-2.8,58.465,2648.4420000000005
14,"Cereais, mingau, milho, infantil","Leite, de vaca, desnatado, UHT","Açaí, polpa, congelada","Lasanha, massa fresca, cozida","Amendoim, grão, cru","Cenoura, cozida","Hambúrguer, bovino, cru","Omelete, de queijo","Limão, cravo, suco","Cenoura, cozida","Corimbatá, assado","Queijo, mozarela","Mandioca, crua","Óleo, de milho","Ciriguela, crua",-1.95,23.639000000000006,2408.639
15,"Lasanha, massa fresca, cozida","Leite, de vaca, desnatado, pó","Pequi, cru","Pastel, massa, crua","Tremoço, em conserva","Agrião, cru","Croquete, de carne, cru","Ovo, de galinha, clara, cozida/10minutos","Limão, galego, suco","Nhoque, batata, cozido","Salmão, filé, com pele, fresco,  grelhado","Queijo, prato","Manjericão, cru","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Caju, cru",-2.033333333333333,23.65,2424.673
16,"Biscoito, doce, wafer, recheado de chocolate","Bebida láctea, pêssego","Goiaba, doce em pasta","Pastel, de queijo, cru","Feijão, preto, cru","Mandioca, farofa, temperada","Carne, bovina, lagarto, cru","Ovo, de galinha, clara, cozida/10minutos","Chá, erva-doce, infusão 5%","Mandioca, frita","Bacalhau, salgado, refogado","Queijo, minas, frescal","Batata, doce, cozida","Óleo, de babaçu","Uva, Rubi, crua",-2.3777777777777778,23.958,2458.8149999999996
17,"Bolo, pronto, aipim","Iogurte, sabor morango","Fruta-pão, crua","Farinha, de rosca","Amendoim, torrado, salgado","Polvilho, doce","Carne, bovina, costela, crua","Ovo, de galinha, clara, cozida/10minutos","Coco, água de","Abobrinha, italiana, refogada","Pescada, filé, com farinha de trigo, frito","Bebida láctea, pêssego","Mandioca, farofa, temperada","Óleo, de milho","Laranja, lima, crua",-2.466666666666667,25.828000000000007,2409.5140000000006
